ndet,age,last_UL,peak_mag,latest_mag,rb,drb,absmag,Glade z,NED z,NED offset,NEDLVS z,NEDLV offset,stock,ra,dec,channels
2,1.036,1.03,19.22,19.22,0.71,1,-17.17,0.041513,,,0.041513,0.55,340730086,32.6324281,34.5885393,Jan23
7,4.128,1.1,18.79,18.85,0.73,1,-17.98,0.049249,0.054368,3.82,0.05436955,3.81,13029975,137.4720332,35.7054777,Jan23
1,0,0.12,18.6,18.6,0.91,1,-16.27,0.020707,0.021281,3.95,0.021247776,3.97,21718903,164.5666844,23.6937229,Jan23
3,4.059,0.12,17.52,17.53,0.94,1,-17.73,0.032637,0.017244,0.56,0.01717,0.58,13259319,181.0407562,1.826018,Jan23
1,0,0.02,18.68,18.68,0.74,1,-17.96,,0.04634,27.57,,,21636727,179.2644269,66.5904649,Jan23
3,1.914,3.9,19.9,19.9,0.53,1,-15.26,,0.023917,12.24,,,23114999,188.8767729,-2.3236279,Jan23
2,0.903,0.02,19.67,19.67,0.62,1,-16.22,,0.033091,12.44,,,23132503,165.652336,59.122987,Jan23
1,0,1.05,19.71,19.71,0.8,1,-16.87,0.0454,0.045348,3.3,0.045416404,3.29,22552247,116.6868488,23.7003072,Jan23
2,1.874,1.93,18.29,18.29,0.76,1,-17.53,0.033378,0.030925,3.54,0.030868515,3.54,19463975,166.9542641,2.3575261,Jan23
3,1.978,2.03,18.21,18.21,0.84,1,-17.61,0.033378,0.030925,3.54,0.030868515,3.54,19463975,166.9542641,2.3575261,Jan23
4,3.851,1.94,19.39,19.4,0.87,1,-17.11,0.043547,,,0.043547,0.44,208376150,59.2299431,33.6813986,Jan23
5,3.852,1.94,19.39,19.52,0.92,1,-17.11,0.043547,,,0.043547,0.44,208376150,59.2299431,33.6813986,Jan23
1,0,0.02,19.47,19.47,0.76,1,-15.92,0.024599,0.028466,0.28,0.028454257,0.28,117534929,160.7105968,60.3291843,Jan23
1,0,0.11,18.9,18.9,0.79,1,-16.83,0.031169,0.030454,2.38,0.030454,2.4,13274711,190.2838516,48.3272888,Jan23
1,0,0.9,19.76,19.76,0.51,1,-15.59,,0.026013,23.06,,,24406375,136.1949652,40.8144093,Jan23
6,4.075,6,18.71,18.77,0.76,1,-15.69,0.016906,,,0.017852,7.32,14782279,198.5385459,-5.5989621,Jan23
