,ndet,age,last_UL,peak_mag,latest_mag,rb,drb,absmag,action,Glade z,NED z,NED offset,NEDLVS z,NEDLV offset,stock,ra,dec,channels
0,2,1.0359259000979364,1.0305093000642955,19.221240997314453,19.221240997314453,0.7121427357196808,0.999273419380188,-17.16671884815247,True,0.041513,,,0.041513,0.5514068979101489,340730086,32.6324281,34.5885393,jan23
1,7,4.128159799613059,1.0953819998539984,18.787500381469727,18.84619903564453,0.7300000190734863,0.9999417066574097,-17.983594008008694,True,0.049249,0.054368,3.8225039072822677,0.05436955,3.8122510192267556,13029975,137.4720332,35.7054777,jan23
2,1,0.0,0.11769679980352521,18.601564407348633,18.601564407348633,0.9071428775787354,0.9999998807907104,-16.273283824573518,True,0.0207072703536,0.021281,3.952723440825728,0.021247776,3.9669185222813748,21718903,164.5666844,23.6937229,jan23
3,3,4.059259200002998,0.11528930021449924,17.52280044555664,17.533344268798828,0.9414290189743042,0.9999997019767761,-17.732446087824464,True,0.032637,0.017244,0.5613332479214024,0.01717,0.5817625534125385,13259319,181.0407562,1.826018,jan23
4,1,0.0,0.01946759968996048,18.67918586730957,18.67918586730957,0.7400000095367432,0.9998993873596191,-17.95517959074843,True,,0.04634,27.567477686887333,,,21636727,179.2644269,66.5904649,jan23
5,3,1.9138772999867797,3.8976966999471188,19.902873992919922,19.902873992919922,0.5285710096359253,0.9999148845672607,-15.259733717892537,True,,0.023917,12.243631220088199,,,23114999,188.8767729,-2.3236279,jan23
6,2,0.9030670998618007,0.01984950015321374,19.665605545043945,19.665605545043945,0.6157144904136658,0.9978078603744507,-16.216688499916394,True,,0.033091,12.440947575227003,,,23132503,165.652336,59.122987,jan23
7,1,0.0,1.0487037003040314,19.71462631225586,19.71462631225586,0.8028571605682373,0.9999825954437256,-16.872476156029485,True,0.045399502699800004,0.045348,3.298216873648484,0.045416404,3.2859072146119797,22552247,116.6868488,23.7003072,jan23
8,2,1.8742244997993112,1.9254744998179376,18.288707733154297,18.288707733154297,0.7635712027549744,0.9986345767974854,-17.529549766508467,True,0.033378,0.030925,3.5433511258507573,0.030868515,3.54449662075186,19463975,166.9542641,2.3575261,jan23
9,3,1.9782869997434318,2.0295369997620583,18.205495834350586,18.205495834350586,0.8428571224212646,0.9993169903755188,-17.612761665312178,True,0.033378,0.030925,3.5433511258507573,0.030868515,3.54449662075186,19463975,166.9542641,2.3575261,jan23
10,4,3.8512152996845543,1.9354860996827483,19.38599967956543,19.399232864379883,0.8671429753303528,0.9960732460021973,-17.109017032730257,True,0.043547,,,0.043547,0.43920464549346766,208376150,59.2299431,33.6813986,jan23
11,5,3.8516898998059332,1.9359606998041272,19.38599967956543,19.520774841308594,0.9214289784431458,0.9979021549224854,-17.109017032730257,True,0.043547,,,0.043547,0.43920464549346766,208376150,59.2299431,33.6813986,jan23
12,1,0.0,0.018900400027632713,19.471071243286133,19.471071243286133,0.7614285945892334,0.9999933242797852,-15.921096574127901,True,0.024599,0.028466,0.2755879587080541,0.028454257,0.28237208744316894,117534929,160.7105968,60.3291843,jan23
13,1,0.0,0.10806709993630648,18.89691162109375,18.89691162109375,0.7914285659790039,0.9999840259552002,-16.82676489329502,True,0.0311688455844,0.030454,2.3796036044980795,0.030454,2.396693933585603,13274711,190.2838516,48.3272888,jan23
14,1,0.0,0.8998378999531269,19.75870132446289,19.75870132446289,0.5099999904632568,0.9973719120025635,-15.589694356767879,True,,0.026013,23.056987176411738,,,24406375,136.1949652,40.8144093,jan23
15,6,4.074780100025237,6.000833299942315,18.705299377441406,18.76947593688965,0.7599999904632568,0.999995231628418,-15.692640513658311,True,0.016906058453,,,0.017852,7.319437208624236,14782279,198.5385459,-5.5989621,jan23
